,date,cases,deaths
0,2020-02-24,1,0
1,2020-02-25,1,0
2,2020-02-26,11,0
3,2020-02-27,11,0
4,2020-02-28,11,0
5,2020-02-29,11,0
6,2020-03-01,12,0
7,2020-03-02,12,0
8,2020-03-03,12,0
9,2020-03-04,12,0
10,2020-03-05,12,0
11,2020-03-06,12,0
12,2020-03-07,12,0
13,2020-03-08,12,0
14,2020-03-09,12,0
15,2020-03-10,12,0
16,2020-03-11,12,0
17,2020-03-12,12,0
18,2020-03-13,12,0
19,2020-03-14,12,0
20,2020-03-15,13,0
21,2020-03-16,15,0
22,2020-03-17,15,0
23,2020-03-18,15,0
24,2020-03-19,15,0
25,2020-03-20,18,0
26,2020-03-21,19,0
27,2020-03-22,19,0
28,2020-03-23,21,0
29,2020-03-24,29,0
30,2020-03-25,36,0
31,2020-03-26,39,0
32,2020-03-27,39,0
33,2020-03-28,39,0
34,2020-03-29,39,0
35,2020-03-30,48,0
36,2020-03-31,54,0
37,2020-04-01,54,0
38,2020-04-02,66,1
39,2020-04-03,78,1
40,2020-04-04,78,1
41,2020-04-05,78,1
42,2020-04-06,93,1
43,2020-04-07,104,2
44,2020-04-08,117,2
45,2020-04-09,120,2
46,2020-04-10,126,2
47,2020-04-11,126,2
48,2020-04-12,126,2
49,2020-04-13,140,2
50,2020-04-14,145,2
51,2020-04-15,146,2
52,2020-04-16,161,2
53,2020-04-17,174,2
54,2020-04-18,174,2
55,2020-04-19,174,2
56,2020-04-20,185,2
57,2020-04-21,186,3
