County,Cases[a],Deaths,Recov.[b],Cases/10K
Los Angeles,"15,140",663,–,15.08
Riverside,"2,960",93,757,12.21
San Diego,"2,434",87,–,7.29
Santa Clara,"1,946",88,–,10.04
Orange,"1,691",33,–,5.30
San Bernardino,"1,489",67,–,6.90
Alameda[c],"1,239",43,–,7.45
San Francisco,"1,231",20,–,13.97
Sacramento,954,35,–,6.23
San Mateo,935,28,–,12.20
Contra Costa,749,22,–,6.53
Kern,671,3,262,7.51
San Joaquin,456,20,–,6.12
Ventura,443,13,230,5.19
Tulare,436,22,62,9.39
Santa Barbara,429,5,183,9.57
Fresno,371,7,126,3.75
Stanislaus,236,4,133,4.31
Marin,200,10,140,7.66
Imperial,195,5,59,10.67
Sonoma,182,2,87,3.61
Solano,181,3,–,4.06
Monterey,150,4,28,3.43
Yolo,146,10,–,6.66
San Luis Obispo,134,1,115,4.73
Placer,133,8,–,3.44
Santa Cruz,108,2,56,3.91
Merced,92,3,56,3.37
Napa,54,2,18,3.83
Humboldt,52,0,47,3.80
San Benito,45,2,40,7.46
El Dorado,39,0,34,2.06
Nevada,38,1,–,3.81
Madera,36,2,25,2.29
Kings,32,1,5,2.13
Shasta,26,3,19,1.45
Sutter,26,2,16,2.69
Mono,24,1,–,16.94
Inyo,18,0,10,9.99
Butte,16,0,–,0.7
Yuba,16,1,12,2.08
Calaveras,12,0,7,2.63
Amador,8,0,5,2.07
Lake,6,0,5,0.93
Mendocino,5,0,4,0.57
Siskiyou,5,0,5,1.14
Glenn,4,0,3,1.42
Plumas,4,0,3,2.13
Colusa,3,0,–,1.38
Del Norte,2,0,2,0.73
Tuolumne,2,0,2,0.37
Alpine,1,0,1,8.93
Tehama,1,0,–,0.16
Lassen,0,0,0,0
Mariposa,0,0,0,0
Modoc,0,0,0,0
Sierra,0,0,0,0
Trinity,0,0,0,0
